ClassName,GrowthComparisonPeriod,StudentLastName,StartRIT,StartRITSEM,StartPercentile,StartPercentileSE,EndRIT,EndRITSEM,EndPercentile,EndPercentileSE,ProjectedRIT,ProjectedGrowth,ObservedGrowth,ObservedGrowthSE,GrowthIndex,MetGrowthProjection?,ConditionalGrowthIndex,ConditionalGrowthPercentile,PercentageofStudentswhoMetorExceededtheirProjectedRIT,PercentageofProjectedGrowthMet,StartGrowthandAchievement,EndGrowthandAchievement,ConditionalGrowthPercentileAxis,AchievementPercentileAxis
Grade 2,Fall 2020 - Spring 2021,Girl ,154,3.2,31,10,157,3,8,4,169,15,3,4.4,-12,No,-1.66,5,40,78.7,Low-G/Low-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,169,3.2,76,7,186,2.9,80,6,184,15,17,4.3,2,Yes*,0.26,60,40,78.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,159,3.2,47,10,176,3,53,9,174,15,17,4.4,2,Yes*,0.24,60,40,78.7,High-G/Low-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,160,3.2,50,10,163,3,18,6,175,15,3,4.4,-12,No,-1.65,5,40,78.7,Low-G/High-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,151,3.2,23,9,148,3,2,1,166,15,-3,4.4,-18,No,-2.48,1,40,78.7,Low-G/Low-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,163,3.1,59,10,172,3,41,9,178,15,9,4.3,-6,No,-0.84,20,40,78.7,Low-G/High-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,194,3.3,99,<1,206,3,99,<1,209,15,12,4.5,-3,No*,-0.36,36,40,78.7,Low-G/High-A,Low-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,170,3.1,79,6,192,2.9,90,4,185,15,22,4.2,7,Yes,0.94,83,40,78.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,184,3.3,97,2,194,3,93,2,199,15,10,4.5,-5,No,-0.65,26,40,78.7,Low-G/High-A,Low-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,140,3.2,5,4,171,3,38,9,155,15,31,4.4,16,Yes,2.11,98,40,78.7,High-G/Low-A,High-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,154,3.3,31,10,165,3.1,22,8,169,15,11,4.5,-4,No*,-0.57,28,40,78.7,Low-G/Low-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,171,3.2,81,6,189,3.1,86,5,186,15,18,4.5,3,Yes*,0.39,65,40,78.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,156,3.2,37,10,163,3.1,18,7,171,15,7,4.5,-8,No,-1.11,13,40,78.7,Low-G/Low-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,154,3.2,31,10,159,3,11,5,169,15,5,4.4,-10,No,-1.39,8,40,78.7,Low-G/Low-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,163,3.1,59,10,178,3,59,9,178,15,15,4.3,0,Yes*,-0.02,49,40,78.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,158,3.2,57,9,165,3.3,31,8,175,17,7,4.6,-10,No,-1.12,13,40,70.7,Low-G/High-A,Low-G/Low-A,50,50
Grade 2,Fall 2020 - Spring 2021,Boy ,170,3.3,87,4,195,3.3,93,3,188,18,25,4.7,7,Yes,0.76,78,40,70.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,163,3.2,71,8,184,3.4,78,6,180,17,21,4.7,4,Yes*,0.4,66,40,70.7,High-G/High-A,High-G/High-A,50,50
Grade 2,Fall 2020 - Spring 2021,Girl ,178,3.2,96,2,160,3.4,21,7,197,19,-18,4.7,-37,No,-4.27,1,40,70.7,Low-G/High-A,Low-G/Low-A,50,50
